"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",1.13823050273453,1.14381809293663,1.51213895849503
"gender",0,-0.0218905777084027,0
"age.x",0.122483852736785,0.0126897554648135,0.0918358279905822
"race.x",0,-0.00661464427317745,0
"ethnicity.x",0,0.0260611987062031,0
"education",0,-0.040814944667252,0
"rmr_kcald_BL",1.5072043694788,0.21558690308873,1.50731480938416
"spk_EE_int_kcal_day_BL",0.625054074149391,0.186478469508854,0.656628245591863
"avg_systolic_BL",0.938134728445137,0.152596804662704,0.957078995596847
"avg_diastolic_BL",0,0.0988562103120986,0
"C_Reactive_Protein_BL",0,0.124096822501188,0
"Cholesterol_lipid_BL",0,-0.00379350248773521,0
"Ghrelin_BL",-0.118507888924991,-0.0782194781663043,-0.149038877428798
"Glucose_BL",-0.0923429047862353,0.0084846168886404,-0.121605998379247
"HDL_Total_Direct_lipid_BL",0,-0.0401865780338542,0
"Hemoglobin_A1C_BL",0.086929692231756,0.0593253291683362,0.14313351144036
"Insulin_endo_BL",0,0.130815545427293,0
"LDL_Calculated_BL",0.214370162799646,0.0185209067258371,0.317667275748604
"Leptin_BL",2.32338914281989,0.25755870626293,2.22800584970549
"Peptide_YY_BL",-0.222420824234605,-0.0308489400617109,-0.212685076730547
"Triglyceride_lipid_BL",0,-0.0191313418749057,0
"HOMA_IR_BL",0,0.114863198541109,0
"g__Methanobrevibacter_A",0,0.00569260166938331,0
"g__Methanosphaera",0,-0.0116665535475334,0
"g__Methanomassiliicoccus_A_1637",0.087284623286325,0.0383311136117162,0.583470740189172
"g__UBA71",0,0.0291148557418705,0
"g__Actinomyces",0,-0.00848417151617908,0
"g__Actinotignum",0,0.053979984563062,0
"g__Gleimia",0,0.0539815071357404,0
"g__Mobiluncus",0,0.0539583909871838,0
"g__Pauljensenia",0,0.0337661701843339,0
"g__Peptidiphaga",-0.647853911502014,-0.0608081597896063,-0.839606877611194
"g__Varibaculum",0,-0.0014417451281345,0
"g__Winkia",0,0.0539293681460124,0
