"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",0.0114726494426099,0.432376707204798,0.224953709586496
"g__Methanobrevibacter_A",0,0.00232768209467427,0
"g__Methanosphaera",0,-0.0186578895721216,0
"g__Methanomassiliicoccus_A_1637",0,0.0137946000693087,0
"g__UBA71",0,0.000118843888688583,0
"g__Actinomyces",0,-0.00401708569316923,0
"g__Actinotignum",0,0.0187510425649115,0
"g__Gleimia",0,0.0187665227641342,0
"g__Mobiluncus",0,0.0188051352790839,0
"g__Pauljensenia",0.011188226038563,0.014956633630653,0.0429202039302313
"g__Peptidiphaga",0,-0.015866309985115,0
"g__Varibaculum",0,-0.0200818280028394,0
"g__Winkia",0,0.0189128750350813,0
"g__Alloscardovia",0,-0.0302898517192828,0
"g__Bifidobacterium_388775",0,-0.00115412114864643,0
"g__Scardovia",0,0.111037607896801,0
"g__Arthrobacter_I_385749",0,0.0704782067020328,0.0487283142519658
"g__Kocuria",0,0.0188792486478727,0
"g__Rothia",0,-0.011085039605542,0
"g__Specibacter",0,-0.0930459815801465,0
"g__Corynebacterium",0,0.00596734075013562,0
"g__Lawsonella",0.426700840173439,0.132085447228377,0.659663191083377
"g__Atopobium",0,0.00936121173521088,0
"g__Fannyhessea",0,0.0573607583354946,0.0643313647985493
"g__Lancefieldella",0,0.0255225641758346,0
"`g__NM07-P-09`",0,0.00830204193203741,0
"g__Olegusella",0,0.018584230277203,0
"g__Parolsenella",0,0.0359426573198369,0
"g__Thermophilibacter",0,-0.0956021815894217,-0.0139665115056723
"g__UBA1367",0,-0.0386696421619096,0
"g__Collinsella",0,0.00526827872424002,0
"g__Adlercreutzia_404199",0,-0.0256667667245139,0
"g__Adlercreutzia_404218",0,0.0183997725335883,0
"g__Adlercreutzia_404257",0,-0.0133676154666953,-0.0112367961349751
"`g__CAG-1427`",0,-0.00332889571852968,0
"g__Cryptobacterium",0,0.0182741529121001,0
"g__Eggerthella",0,0.010276465040952,0.00709878325135131
"g__Ellagibacter",0,-0.0217125686846117,-0.04693438906589
"g__Gordonibacter",0,0.00202047842007177,0
"g__Paraeggerthella",0,-0.0247393880643757,0
"g__Raoultibacter",0,-0.00607652572103329,0
"g__Rubneribacter",0,0.018062790188158,0
