"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance"
"gender",0.187802066612946,0,5.9278973196995,0
"age.x",2.9132303935304,5.27177520456717,3.41037125657392,4.1218845095367
"race.x",0.0642403510527648,0,1.74810125978246,0
"ethnicity.x",0.0133323393911449,0,7.06906131389545,0
"education",0.281222843693587,0,11.105976602804,0
"rmr_kcald_BL",100,64.8709396846675,58.9270244158017,67.6530902997137
"spk_EE_int_kcal_day_BL",9.92521896182631,26.9026855049673,50.9623840549732,29.4715673964078
"avg_systolic_BL",5.8380037191034,40.3778562598656,41.6916936694807,42.9567541630718
"avg_diastolic_BL",2.31098367442023,0,26.9872092936657,0
"C_Reactive_Protein_BL",10.1846014872801,0,33.8935375926993,0
"Cholesterol_lipid_BL",0.625901246908602,0,0.976181339519665,0
"Ghrelin_BL",2.11196764411164,5.1006474438956,21.3405931913953,6.6893395925553
"Glucose_BL",1.28695628408135,3.97449153412842,2.25976257353507,5.45806459149652
"HDL_Total_Direct_lipid_BL",1.52813336525672,0,10.9340431239369,0
"Hemoglobin_A1C_BL",0.530652743010864,3.74150376403368,16.1707821371598,6.42428795504642
"Insulin_endo_BL",4.20464734932742,0,35.7319124280761,0
"LDL_Calculated_BL",0.568343005739663,9.22661464017454,5.00588901455288,14.2579192864594
"Leptin_BL",70.043091701348,100,70.4113358838393,100
"Peptide_YY_BL",2.69936988040949,9.57311972133317,8.37908158457217,9.54598376654446
"Triglyceride_lipid_BL",1.22198502702069,0,5.17291608636692,0
"HOMA_IR_BL",37.7411661397466,0,31.3670363343149,0
"g__Methanobrevibacter_A",0.516142393252804,0,1.49581225507081,0
"g__Methanosphaera",0.00483325412594389,0,3.13040307260128,0
"g__Methanomassiliicoccus_A_1637",0.00980967745431163,3.75678019999646,10.4263515374388,26.1880255056914
"g__UBA71",0.00123542753928664,0,7.90460198315422,0
"g__Actinomyces",0.0943943827018338,0,2.25964071086351,0
"g__Actinotignum",0.00205346267557567,0,14.7081906421941,0
"g__Gleimia",0.00475596925444903,0,14.7086072480473,0
"g__Mobiluncus",0.000702584370546911,0,14.7022822148133,0
"g__Pauljensenia",2.19679299819545,0,9.17729316516822,0
"g__Peptidiphaga",0.0115293484682477,27.8840035688432,16.5765137812908,37.6842312923988
"g__Varibaculum",0.23452238699289,0,0.332694236932997,0
"g__Winkia",0.000837222986861887,0,14.6943409942201,0
"g__Alloscardovia",0.0259674646162992,0,7.83211222124935,0
"g__Bifidobacterium_388775",5.23869567180305,0,1.0314490809978,0
"g__Scardovia",0.010342756712128,0,87.0808161756148,0
"g__Arthrobacter_I_385749",0.00580117085176725,0,55.9555675280623,9.27886419711051
"g__Kocuria",0.00235644501189109,0,14.6597012312724,0
"g__Rothia",0.532405814864513,0,9.76669069125819,0
"g__Specibacter",0.00712358151587016,0,55.7205142434717,0
"g__Corynebacterium",0.0918405429364275,0,3.9676225806068,0
"g__Lawsonella",0.0492338181953188,0,29.7802202498433,0
"g__Atopobium",0.000922519724493072,0,7.26257589194303,0
"g__Fannyhessea",0.00450949373189646,0,74.5916847465058,0
"g__Lancefieldella",0.375259149447665,0,10.5704515124937,0
"`g__NM07-P-09`",0.00343645646924875,0,24.6977810267522,0
"g__Olegusella",0.00216812201900086,0,14.5274711747738,0
