"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance"
"age",7.0247310837621,0,13.4521505683531,0
"sex",0.0129277515751002,0,5.54057548043443,0
"gender",0.0558379436405391,0,5.53935148877219,0
"race",0.0203275535390399,2.60492540651191,13.8538002651491,6.58098549778939
"ethnicity",0.0207819401824241,0,0.558519691528975,0
"education",0.329500074370732,0,2.12307852326019,0
"WBTOT_FAT_BL",100,100,45.2197454181617,66.5886092375871
"WBTOT_LEANmass_BL",5.20393037070024,1.42033440215665,21.5294330116382,2.27067591449217
"WBTOT_BMC_BL",2.72745173960673,0,10.2218388230297,0
"WBTOT_Lean_BMC_BL",3.9690497133445,0,21.2536743923389,0
"WBTOT_PFAT_BL",1.14156423992429,0,23.6517679856164,0
"WBTOT_PLEAN_BL",1.5756719695059,0,22.3095235379989,0
"rmr_kcald_BL",5.93500270081001,26.40428320603,27.688868439152,27.9855676803262
"spk_EE_int_kcal_day_BL",10.7713437034393,34.5607217652728,26.8494126292166,16.58156957794
"avg_systolic_BL",1.76799859996389,0,12.6219907031431,0
"avg_diastolic_BL",1.42427822217415,0,6.52597520528389,0
"C_Reactive_Protein_BL",4.47534809722905,0,22.0019449933096,0.260021445092055
"Cholesterol_lipid_BL",2.63890848324709,0,0.706370532000493,0
"Ghrelin_BL",1.12728736147375,0,0.615293606312626,0
"Glucose_BL",1.49597847909074,0,5.39144577545933,0
"HDL_Total_Direct_lipid_BL",1.68597523083315,0,0.242589670774587,0
"Hemoglobin_A1C_BL",0.891499714749188,0,3.39870868008522,0
"Insulin_endo_BL",1.43581107357862,0,16.7627277999904,0
"LDL_Calculated_BL",1.11277772637522,0,1.69267986162699,0
"Leptin_BL",30.7562827769317,46.0291976175232,35.5496430421956,35.6535163736211
"Peptide_YY_BL",1.59779376788133,0,3.26547990251093,0
"Triglyceride_lipid_BL",1.09727530613023,0,2.09095491629552,0
"HOMA_IR_BL",2.53533615903747,0,14.1428769706064,0
"g__Methanobrevibacter_A",0.660059378231875,0,0.721813430163799,0
"g__Methanosphaera",0.0401436955973005,0,9.91233401090678,0
"g__Methanomassiliicoccus_A_1637",0.00374832411073063,0,1.82070472831602,0
"g__UBA71",0.022318078285219,0,0.0549036693629633,0
"g__Actinomyces",0.225669785537957,0,1.46422463396347,0
"g__Actinotignum",0.00478551300876017,0,11.864883302543,0
"g__Gleimia",0.00617605135739737,0,11.864287813038,0
"g__Mobiluncus",0.00811087891691433,0,11.8556549329914,0
"g__Pauljensenia",4.73054968476258,0,6.76402981258449,0.711205591908046
"g__Peptidiphaga",0.00570765960310876,0,8.72468311555339,0
"g__Varibaculum",0.0288974044645768,0,9.28926723143981,1.956547029181
"g__Winkia",0.00134906339813919,0,11.8450447064875,0
"g__Alloscardovia",0.00756000237872663,0,16.9874609973699,0
"g__Bifidobacterium_388775",1.48655877126015,0,0.547483753453924,0
"g__Scardovia",0.00567303126846204,0,45.0214317193422,0
"g__Arthrobacter_I_385749",0.000644056500120997,0,19.361794406591,0
"g__Kocuria",0.00025175566886887,0,11.8123243231364,0
"g__Rothia",0.81379215510503,0,5.90198999878386,0
"g__Specibacter",0.000891089256632302,0,40.750028968033,0
"g__Corynebacterium",0.406975336736754,0,2.78387050975295,0
"g__Lawsonella",0.411824245124803,83.6212297919264,59.1528001306335,100
"g__Atopobium",0.00357188617144358,0,5.86831996531751,0
"g__Fannyhessea",0.0125654627831384,0,23.8845625426587,0
"g__Lancefieldella",0.162410989614766,0,11.8453080167495,0
"`g__NM07-P-09`",0.00204158538513014,0,5.7888454130368,0
"g__Olegusella",0.00189772440069621,0,11.7007224003568,0
"g__Parolsenella",0.0719459497640172,0,16.3275997252219,0
"g__Thermophilibacter",0.00769454143987459,0,45.8682242399711,0
"g__UBA1367",0.0171623123204541,0,18.7370097953707,0
"g__Collinsella",2.9060446836916,0,2.48022630474081,0.496914150899883
"g__Adlercreutzia_404199",0.00589817636239445,0,18.1206829416488,0
"g__Adlercreutzia_404218",0.000916346443938294,0,11.6568377670745,0
"g__Adlercreutzia_404257",1.23318596571616,0,4.91572151378515,0.840875764751588
"`g__CAG-1427`",2.55638761618401,0,1.89544766676282,0
"g__Cryptobacterium",0.00581313601602421,0,11.6169311019802,0
"g__Eggerthella",1.46641631955655,0,5.22703864156241,3.86678850022611
"g__Ellagibacter",0.855595856168767,1.51533392242174,10.8363677135219,10.527199518305
"g__Gordonibacter",0.966105860595887,0,1.89293343298549,0
"g__Paraeggerthella",0.00518013261471182,0,4.99214767003045,0
"g__Raoultibacter",0.000670325530677315,0,4.27007147660929,0
"g__Rubneribacter",0.00885671296758872,0,11.5700272540082,0
"g__Senegalimassilia",0.796984536817843,0,3.67222470616664,0
"g__Slackia_A",0.262437693391454,0,4.60278166852018,0
"g__QAMH01",0.222673463287676,0,4.98315430514002,0
"g__Alloprevotella",0.137734205899551,0,0.855325750035322,0
"g__Bacteroides_H",1.82367689832076,0,0.382636593142959,0
