"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",0.285197357236108,0.354885426188705,0.273685233006138
"age",0,-0.0122939139112968,0
"sex",0,-0.00689052440672063,0
"cohort_number",0,-0.0167231129406783,-0.0209733203373103
"race",0,0.0191753942287104,0.0166250694383728
"ethnicity",0,-0.00357086729240375,0
"education",0,0.000440197236405742,0
"rmr_kcald_BL",0.24452963680718,0.0370562624054276,0.274828523700287
"spk_EE_int_kcal_day_BL",0.0443853147363766,0.0290669704893836,0.0449929183335148
"avg_systolic_BL",0,0.0148764237560092,0
"avg_diastolic_BL",0,0.00734085195805639,0
"C_Reactive_Protein_BL",0,0.0116786439473659,0
"Cholesterol_lipid_BL",0,-0.00453449583083386,0
"Ghrelin_BL",0,-0.00581411602919833,0
"Glucose_BL",0,-0.00831707780333829,0
"HDL_Total_Direct_lipid_BL",0,0.00271966512527682,0
"Hemoglobin_A1C_BL",0,0.00209783278610432,0
"Insulin_endo_BL",0,0.0264711547890182,0.00680366999384209
"LDL_Calculated_BL",0,-0.00668749299519856,0
"Leptin_BL",0.351012582189982,0.0505228215494067,0.369256086335941
"Peptide_YY_BL",0,-0.00262637118363401,0
"Triglyceride_lipid_BL",0,-0.000790779083773511,0
"HOMA_IR_BL",0,0.0222656283993843,0
"g__Methanobrevibacter_A",0,2.78367002910194e-06,0
"g__Methanosphaera",0,-0.0118306071525952,0
"g__Methanomassiliicoccus_A_1637",0,0.00796544294507785,0
"g__UBA71",0,-0.00787735167754408,0
"g__Actinomyces",0,-0.000590713977061857,0
"g__Actinotignum",0,0.00796596493239191,0
"g__Gleimia",0,0.0079735722315686,0
"g__Mobiluncus",0,0.00797532750729767,0
"g__Pauljensenia",0,0.0079809577373205,0
"g__Peptidiphaga",0,-0.0211390558895976,0
"g__Varibaculum",0,-0.00898591762194809,0
"g__Winkia",0,0.00797240336778786,0
"g__Alloscardovia",0,-0.00482895418037643,0
"g__Bifidobacterium_388775",0,-0.0010888188091081,0
"g__Scardovia",0,0.055787734531755,0
"g__Arthrobacter_I_385749",0,0.0109550572464722,0
"g__Kocuria",0,0.00795647494493393,0
"g__Rothia",0,-0.0126507119592757,0
"g__Specibacter",0,-0.0479192066245256,0
"g__Corynebacterium",0,0.000675983198415595,0
"g__Lawsonella",0.279622227219556,0.0716101404734447,0.315558290922476
"g__Atopobium",0,0.00395701965583309,0
"g__Fannyhessea",0,0.0375704096108587,0
"g__Lancefieldella",0,0.0254637471491506,0
"`g__NM07-P-09`",0,0.00921659287621153,0
"g__Olegusella",0,0.00789033717071566,0
"g__Parolsenella",0,0.0229207775050909,0.0212152688519986
"g__Thermophilibacter",0,-0.0570327263360167,-0.0162646038559051
"g__UBA1367",0,-0.0240181338185115,0
"g__Collinsella",0,0.00525662998405258,0.00655413011838191
"g__Adlercreutzia_404199",0,-0.0145530013173611,0
"g__Adlercreutzia_404218",0,0.00786403753713788,0
"g__Adlercreutzia_404257",0,-0.00290750301515924,0
"`g__CAG-1427`",0,-0.00127478079759132,0
"g__Cryptobacterium",0,0.00781951856996722,0
"g__Eggerthella",0.0139088675809378,0.00912035316588488,0.0604226627339637
"g__Ellagibacter",0,0.00409099501090047,0
"g__Gordonibacter",0,0.011729972005289,0
"g__Paraeggerthella",0,-0.00633359215285762,0
"g__Raoultibacter",0,-0.010683013872243,0
"g__Rubneribacter",0,0.00780304527865002,0
"g__Senegalimassilia",0,0.00415357374755342,0
"g__Slackia_A",0,-0.00422790878873461,0
"g__QAMH01",0,-0.012458376641342,0
