"Model","DataType","R2","MAE","RMSE"
"rf_model","Train",0.963825543523819,0.289335258975901,0.365448354028735
"rf_model","Test",0.316484028677291,0.671136848784197,0.866057283583137
"lasso_model","Train",0.697446566661514,0.514101018753152,0.627875113760071
"lasso_model","Test",0.254762087548052,0.688926249252455,0.857942866655018
"ridge_model","Train",0.835878917813526,0.455262375769564,0.57395716331683
"ridge_model","Test",0.18546675651607,0.720174669586861,0.902207441451997
"enet_model","Train",0.886606989087939,0.342509669005349,0.41967489097999
"enet_model","Test",0.255234614356031,0.726120973598797,0.875629460617677
"xgboost_model","Train",0.999089778281281,0.0192276521203889,0.0315366207945677
"xgboost_model","Test",0.084659144073159,0.797836520255905,1.01174230560653
