"Model","DataType","R2","MAE","RMSE"
"rf_model","Train",0.945587389065631,0.279499442415943,0.362236614437347
"rf_model","Test",0.275227216081641,0.690725993278214,0.8502241273771
"lasso_model","Train",0.371301661257372,0.630794948971642,0.807630882561338
"lasso_model","Test",0.265410177745768,0.676665509465597,0.851657302400741
"ridge_model","Train",0.46760890115304,0.584501803296454,0.732129415907054
"ridge_model","Test",0.192219277044177,0.73868631068662,0.944918373400482
"enet_model","Train",0.40769459073475,0.606078852244095,0.778837332657619
"enet_model","Test",0.231289383249457,0.686951960499453,0.878022656549741
"xgboost_model","Train",0.947682096897259,0.198564882724656,0.246811884646148
"xgboost_model","Test",0.160709700922941,0.737601012317526,0.996394402615947
