"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"age",15.5350382436896,0,11.3356136762005,0,19.769996604556
"sex",0.466366032620317,0,4.21834803227933,0,0
"cohort_number",11.3913640202632,0.0960322499392923,13.9654734061973,12.9447438641536,35.0257489055274
"race",0.0656422822475595,5.15329247224856,17.0693907064763,12.8573674997313,0
"ethnicity",0.236752643726981,0,2.20031381481942,0,0
"education",1.88006050185788,0,0.471196803115806,0,0
"g__Methanobrevibacter_A",5.50208790759497,0,0.0190699490547649,0,0
"g__Methanosphaera",0.0238511334334943,0,9.31885460762603,0,0
"g__Methanomassiliicoccus_A_1637",0.0193209896009613,0,5.42753161383223,0,0
"g__UBA71",0.00335385059843948,0,2.53460247121371,0,0
"g__Actinomyces",0.183417192257884,0,0.782334344090921,0,0
"g__Actinotignum",0.0102024955850691,0,5.3882242557601,0,0
"g__Gleimia",0.00532338327489158,0,5.40251453541343,0,0
"g__Mobiluncus",0.0383372740654748,0,5.42160829297626,0,0
"g__Pauljensenia",9.83885253356654,0,6.23252476516503,0,69.3671195822276
"g__Peptidiphaga",0.0279961583413471,0,14.3842108134461,0,0
"g__Varibaculum",0.0127739254006473,0,9.27595201479473,0,0
"g__Winkia",0.00877903726416059,0,5.43777115222721,0,0
"g__Alloscardovia",0.570111416607389,0,3.214057120122,0,0
"g__Bifidobacterium_388775",5.87494739033414,0,0.821115859870142,0,0
"g__Scardovia",0.163484591721791,0,53.6939090177133,0,0
"g__Arthrobacter_I_385749",0.0231043620828195,0,10.0907898055363,0,0
"g__Kocuria",0.0185064754466695,0,5.43720487108235,0,0
"g__Rothia",8.59501518543483,0,9.70139295281988,0,0
"g__Specibacter",0.0142616891445425,0,40.7640035765044,0,0
"g__Corynebacterium",0.260301591510729,0,0.14889808108235,0,0
"g__Lawsonella",3.13212998286488,90.8208007381124,57.8859275174201,70.5706437419242,0
"g__Atopobium",0.0547868933514104,0,2.69296357539855,0,0
"g__Fannyhessea",0.0015281941113923,0,33.9958495156732,0,0
"g__Lancefieldella",2.20695650943398,0,21.5601130929296,0.166763462093573,0
"`g__NM07-P-09`",0.000367363741949656,0,7.3936240001902,0,0
"g__Olegusella",0.00807509233371933,0,5.39086589197506,0,0
"g__Parolsenella",0.0995228570990906,0,18.7169803054582,0,0
"g__Thermophilibacter",0.00978016016805141,0,46.4781668247063,13.9232808794611,0
"g__UBA1367",0.00893477790257043,0,20.8814861128734,0,0
"g__Collinsella",32.2048326797575,1.85452969357797,3.89136451008394,0.200773185330153,100
"g__Adlercreutzia_404199",0.0544395387067072,0,9.0231280928927,0,0
"g__Adlercreutzia_404218",0.0166771242702567,0,5.35656394305048,0,0
"g__Adlercreutzia_404257",14.0898047254808,0,2.72809112062957,0,0
"`g__CAG-1427`",4.7667604078581,0,0.60160008915422,0,0
"g__Cryptobacterium",0.044396592151585,0,5.30374397898588,0,0
"g__Eggerthella",2.11549121713953,0,6.97382713789499,4.81864368977242,0
"g__Ellagibacter",0.102758337076805,0,4.53443035152223,0,0
"g__Gordonibacter",5.55523460567243,0,9.58307483995295,4.15596422851376,0
"g__Paraeggerthella",0.0197502144165224,0,7.81199438312472,0,0
"g__Raoultibacter",0.0210720039209218,0,9.86773705973417,0,0
"g__Rubneribacter",0.0359970377522898,0,5.27364525539186,0,0
"g__Senegalimassilia",2.48737068586107,0,3.62321325651715,0,0
"g__Slackia_A",3.91906490388959,0,2.85654716232815,0,18.3963483436668
"g__QAMH01",4.11752002184365,12.8098964233101,11.1192436075272,10.0819144455001,0
"g__Alloprevotella",0.124417256616322,0,1.15780490584231,0,0
"g__Bacteroides_H",7.36334136990583,0,0.119143638661649,0,0
"g__Paraprevotella",2.94307607919547,3.15221773743744,9.53373722725261,6.64071742345431,0
"g__Phocaeicola_A_858004",26.5431128542867,6.92947312605265,3.43128562352204,4.91362318282806,30.6152648190996
"g__Prevotella",5.73576630397052,0,0.0579443055421284,0,0
"g__Barnesiella",4.94223760197016,0,0.134521261750829,0,0
"g__CABJAA01",1.98915448268961,7.90221422195371,10.0549548472289,13.4242662189536,0
"g__Coprobacter",0.568015993139756,0,6.9223705748903,9.12080440608335,0
"g__Dysgonomonas",0.0087883985549091,0,2.61018138619763,0,0
"g__Seramator",0.277731091706934,0,87.3918244322272,9.81696832870517,0
"g__Butyricimonas",5.23844951888289,0,2.70976251318849,0,36.8688096437031
"g__Gabonibacter",0.0187524853163949,0,2.40062821164281,0,0
"g__Odoribacter_865974",9.31764774548223,0,3.78889153078338,0,35.1310375832026
"`g__CAG-1031`",0.0797759219792674,0,24.6513347589285,0,0
"`g__CAG-485`",0.000950341542003646,0,0.666764451870793,0,0
"`g__CAG-873`",0.0559857043191569,0,27.4338177452734,0,0
"g__Duncaniella",0.103507228076436,0,13.0481457539844,0,0
"g__Limisoma",0.0666452223914957,0,4.96426649655404,0,0
"g__Muribaculum",0.623275439290879,0,1.71227952668511,0,0
"g__Paramuribaculum",2.77807276425441,0,1.05202106335315,0,0
"g__Sodaliphilus",0.015936277268948,0,2.68089929868467,0,0
"g__UBA3263",0.122465906079285,0,2.56957821511754,0,0
"g__UBA7173",0.00977755833218877,0,5.29908159682672,0,0
"g__Porphyromonas_A_859424",0.691904882674883,0,2.17260116596856,0,0
"g__Porphyromonas_A_859426",1.44393117099848,0,9.96082494663964,0,0
"g__Alistipes_A_871400",4.96524402745368,0,0.44695278787104,0,0
"g__Alistipes_A_871404",3.09247017505074,0,1.60957833839473,0,0
"g__Rikenella",0.203205161699781,0,5.07102512175502,0,0
"g__Tidjanibacter",0.307079276831856,0,13.6269483977089,7.09572370776282,0
"g__Parabacteroides_B_862066",5.12149647195058,0,0.694597727651617,0,0
"g__UBA11471",1.02081262178039,0,9.63736367934091,0.114057392619649,0
"g__Coprenecus",2.9733816416972,0,1.26449526500284,0,0
"g__Cryptobacteroides",0.041462902689414,0,8.65470413661925,0,0
"g__Campylobacter_A",0.00556532306735323,0,5.024445079404,0,0
"g__Campylobacter_B",0.0196480063859625,0,1.65634223574131,0,0
"g__Helicobacter_C_479931",0.0133513928731763,0,2.86363085802277,0,0
"g__Helicobacter_D",0.100820980078678,0,26.2501164582306,0,0
"g__SIO2C1",0.0808771783645774,0,0.0508082209217409,0,0
"d__Bacteria_p__Cyanobacteria_c__Vampirovibrionia_o__Gastranaerophilales_f__Gastranaerophilaceae_g__",0.0100294445784344,0,2.48920018334764,0,0
"`g__CAG-196`",0.891506470863634,0,3.3540787833224,0,0
"g__Limenecus",0.0707889235184655,0,5.72671861735019,0,0
"g__Stercorousia",2.35532842734221,0,0.977882153011288,0,0
"g__UBA2813",0.0366885979291044,0,34.4210982646133,0,0
"g__UBA6984",0.0593825561147914,0,5.00011942625689,0,0
"g__Zag111",0.00920577157079498,0,2.43408971484086,0,0
