"Model","DataType","R2","MAE","RMSE"
"rf_model","Train",0.96235893230392,0.310536983922143,0.388346307338327
"rf_model","Test",0.118167692963133,0.722381390579616,0.936193003982462
"lasso_model","Train",0.656030816861439,0.579839287029942,0.699079590960497
"lasso_model","Test",0.000482870521470547,0.843112184497801,1.0744433800298
"ridge_model","Train",0.867302041422622,0.412109475321196,0.521632553997525
"ridge_model","Test",0.0964622169981846,0.746379852212769,0.943275377909139
"enet_model","Train",0.885095427339468,0.371922289142382,0.451286983308612
"enet_model","Test",0.0104355182401486,0.837459260961586,1.0787971759594
"xgboost_model","Train",0.878351761743755,0.307448253593573,0.38246260650654
"xgboost_model","Test",0.0954094802051234,0.87149565396056,1.02996477458273
