"Model","DataType","R2","MAE","RMSE"
"rf_model","Train",0.779680127941907,0.475204492638396,0.601519429672548
"rf_model","Test",0.119555564799192,0.750321361814751,0.931702993842255
"lasso_model","Train",0.042799849203108,0.775952733830038,0.985793582512123
"lasso_model","Test",0.0233233170754613,0.740314694805118,0.985822327926183
"ridge_model","Train",0.0485592708682377,0.761692042772133,0.973749282072045
"ridge_model","Test",0.0343566606953012,0.731089071670977,0.976776428210012
"enet_model","Train",0.0443405874578397,0.764840987077625,0.978714853569554
"enet_model","Test",0.030726105463544,0.737755988155353,0.980386965978011
"xgboost_model","Train",0.349573485124016,0.650647935867291,0.828946735414452
"xgboost_model","Test",0.00572366504210266,0.850943894951588,1.0424054982732
