"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",0.321939210597378,0.369833562783345,0.453093075283043
"g__Methanobrevibacter_A",0,1.71086229197472e-05,0
"g__Methanosphaera",0,-0.0153859308159828,0
"g__Methanomassiliicoccus_A_1637",0,0.00906947254725731,0
"g__UBA71",0,-0.00588916451138471,0
"g__Actinomyces",0,0.00261137853826047,0
"g__Actinotignum",0,0.00899630585506433,0
"g__Gleimia",0,0.00899850150473355,0
"g__Mobiluncus",0,0.00900365668779675,0
"g__Pauljensenia",0,0.0097487885191307,0
"g__Peptidiphaga",0,-0.0243553215847615,0
"g__Varibaculum",0,-0.0157740632007622,0
"g__Winkia",0,0.00899705237717851,0
"g__Alloscardovia",0,-0.00639988296156456,0
"g__Bifidobacterium_388775",0,-0.00137373509267079,-0.000233092464995385
"g__Scardovia",0,0.0873502828292925,0
"g__Arthrobacter_I_385749",0,0.013633310378276,0
"g__Kocuria",0,0.00896759602530338,0
"g__Rothia",0,-0.0156036041323883,0
"g__Specibacter",0,-0.0658474562472606,0
"g__Corynebacterium",0,7.53320551821319e-05,0
"g__Lawsonella",0.27410988046012,0.0943243671890465,0.344423729333169
"g__Atopobium",0,0.0044422281704189,0
"g__Fannyhessea",0,0.0557196714215953,0
"g__Lancefieldella",0,0.0339887113948792,0
"`g__NM07-P-09`",0,0.0121222999047579,0
"g__Olegusella",0,0.00886385524882625,0
"g__Parolsenella",0,0.0316250897192539,0
"g__Thermophilibacter",0,-0.0754392681494957,-0.0466074477131692
"g__UBA1367",0,-0.0353316011584115,0
"g__Collinsella",0.00531490504587311,0.00605027471542694,0
"g__Adlercreutzia_404199",0,-0.0160146051599026,0
"g__Adlercreutzia_404218",0,0.00880774216091467,0
"g__Adlercreutzia_404257",0,-0.00467462273317453,0
"`g__CAG-1427`",0,-0.00103609331948922,0
"g__Cryptobacterium",0,0.0087158321052788,0
"g__Eggerthella",0,0.0112160106943223,0.0237978289227482
"g__Ellagibacter",0,0.00659763966544072,0
"g__Gordonibacter",0,0.0158106169086408,0.0271204460008592
"g__Paraeggerthella",0,-0.0129251415513142,0
"g__Raoultibacter",0,-0.0159389110712567,0
"g__Rubneribacter",0,0.00866500176244967,0
"g__Senegalimassilia",0,0.00562809785541982,0
"g__Slackia_A",0,-0.00428246915577822,0
"g__QAMH01",-0.0362769919837699,-0.0173858022666998,-0.0225119524271955
"g__Alloprevotella",0,-0.00136164200074236,0
"g__Bacteroides_H",0,-0.000244004294563516,0
"g__Paraprevotella",-0.00891796411903047,-0.0156022218622259,-0.0311870285142218
"g__Phocaeicola_A_858004",-0.0208257218288248,-0.00560734739541526,-0.0231047750035704
"g__Prevotella",0,0.000115004352179346,0
"g__Barnesiella",0,-8.27482712341801e-05,0
