"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"g__Methanobrevibacter_A",5.7616890695248,0,0.000441994785584621,0,47.8141926564255
"g__Methanosphaera",0.0370651454783892,0,9.54161654036672,0,2.54369340527058
"g__Methanomassiliicoccus_A_1637",0.00893079906991701,0,5.62027305062347,0,0.00559824227949536
"g__UBA71",0.0210274810190861,0,3.64589442239841,0,0
"g__Actinomyces",0.0210508243410885,0,1.61100016051074,0,1.93270602751018
"g__Actinotignum",0.0132982028393851,0,5.57485016965273,0,0
"g__Gleimia",0.114338788636854,0,5.57621325892995,0,0
"g__Mobiluncus",0.00750450080779671,0,5.57941366692495,0,0
"g__Pauljensenia",8.38430242808201,0,6.04200167613718,0,0.377560787392354
"g__Peptidiphaga",0.00770207870234802,0,15.109936728954,0,0.0968737626406561
"g__Varibaculum",0.209630016291702,0,9.78257442142306,0,0
"g__Winkia",0.0442829430997371,0,5.5753136207685,0,0
"g__Alloscardovia",0.44157718539793,0,3.96295540570616,0,0
"g__Bifidobacterium_388775",2.87441250995139,0,0.842654220189073,0.0561810105612588,0.0532331384341706
"g__Scardovia",0.0392551197344691,0,54.2180683200318,0,0
"g__Arthrobacter_I_385749",0.00298775583794244,0,8.45356585578909,0,0
"g__Kocuria",0.0355334131223954,0,5.55702671555311,0,0
"g__Rothia",4.3535070430436,0,9.67675110563466,0,0
"g__Specibacter",0.000197442293484672,0,40.8688201430876,0,0
"g__Corynebacterium",0.623518502493712,0,0.0365878960706533,0,0.0536441927252549
"g__Lawsonella",7.4227599329811,94.8256854884727,58.5476750612728,83.0145803966594,0.0157643644267252
"g__Atopobium",0.107155796262167,0,2.74761659654585,0,0
"g__Fannyhessea",0.00112265817527402,0,34.5813531161493,0,0
"g__Lancefieldella",0.994411579629489,0,21.0904765835592,0,0
"`g__NM07-P-09`",0.00125989069453822,0,7.51550993407086,0,0.128206065784894
"g__Olegusella",0.0212764587886436,0,5.49262302583451,0,0
"g__Parolsenella",0.0507076430700515,0,19.6231079925531,0,0.0937955605912751
"g__Thermophilibacter",0.0127099391277298,0,46.8235478650932,11.233539926993,0.633442165341763
"g__UBA1367",0.0607767209576065,0,21.9241608742864,0,0
"g__Collinsella",33.7457935283547,1.83864045117624,3.74591383563197,0,9.65209175756951
"g__Adlercreutzia_404199",0.0363763558142087,0,9.93190615217406,0,0
