"Model","DataType","R2","MAE","RMSE"
"rf_model","Train",0.966752970802957,0.304190780558872,0.380678295853824
"rf_model","Test",0.0892451703331968,0.729310439966859,0.947933892626505
"lasso_model","Train",0.652998398006843,0.581800718034544,0.700330867184361
"lasso_model","Test",0.00094307858560919,0.839400440928508,1.06880514831442
"ridge_model","Train",0.860656192030899,0.417886185076425,0.528460657836184
"ridge_model","Test",0.0884729164343617,0.750002195627327,0.94744882689292
"enet_model","Train",0.879786377635923,0.377250851934344,0.457146594052018
"enet_model","Test",0.021226000288269,0.818866179711243,1.05129562257633
"xgboost_model","Train",0.999377191921174,0.00791358902377023,0.0250848630171297
"xgboost_model","Test",0.0309449990069115,0.81058865104939,1.04645279229641
